"problem set 0","SCORE_GRADE_TYPE"
""
"Display ID","ID","Last Name","First Name","grade","Submission date","Late submission"
"va616","va616","Aokigahara","Vinny","","2020-11-23T03:20:14.321Z","Late"
"ub3146","ub3146","Bashmakovo","Unit","","2020-12-23T13:12:43.602Z","Late"
"sc833","sc833","Charleroi","Sif","","2020-11-22T02:05:58.044Z","On time"
"cc934","cc934","Coriolis","Cory","","2020-11-22T01:34:27.394Z","On time"
"fd39932","fd39932","Darmstadt","Fowum","","2020-11-21T17:16:10.630Z","On time"
"bg159","bg159","Haode","Brimpfen","","2020-11-20T02:22:51.279Z","On time"
"sh513","sh513","Helsingborg","Sunk","","2020-13-20T11:29:51.279Z","Late"
"mi3497","mi3497","Ichinomiya","Mifo","","2020-11-20T02:54:51.279Z","On time"
"jjj333","jjj333","Jacobi","Jacob","","2020-11-20T02:38:51.279Z","On time"
"hl342","hl342","Liouying","Hush","","2020-12-20T02:27:51.279Z","On time"
"dyl253","dyl253","Llanybydder","Dara","","2020-11-20T02:08:51.279Z","On time"
"nm337","nm337","Maebashi","Neum","","2020-11-20T02:18:51.279Z","On time"
"nn632","nn632","Novgorod","Nye","","2020-11-20T06:43:51.279Z","On time"
"as951","as951","Schrodinger","Axela","","2020-11-20T02:21:51.279Z","On time"
"ys383","ys383","Syuejia","Yue","","2020-11-20T02:55:51.279Z","On time"
"ehv329","ehv329","Viborg","Etchel","","2020-11-20T02:43:51.279Z","On time"
