"problem set 0","SCORE_GRADE_TYPE"
""
"Display ID","ID","Last Name","First Name","grade","Submission date","Late submission"
"ia432","ia432","Aberfoyle","Innell",9,"2020-11-23T03:20:14.321Z","On time"
"va616","va616","Aokigahara","Vinny",6,"2020-11-23T03:20:14.321Z","On time"
"aa129","aa129","Arvaikheer","Assumption",10,"2020-11-21T01:20:12.322Z","On time"
"ub3146","ub3146","Bashmakovo","Unit",9.5,"2020-12-23T13:12:43.602Z","On time"
"sc833","sc833","Charleroi","Sif",8.5,"2020-11-22T02:05:58.044Z","On time"
"cc934","cc934","Coriolis","Cory",7,"2020-11-22T01:34:27.394Z","On time"
"fd39932","fd39932","Darmstadt","Fowum",10,"2020-11-21T17:16:10.630Z","On time"
"bg159","bg159","Haode","Brimpfen",4.5,"2020-11-20T02:22:51.279Z","On time"
"sh513","sh513","Helsingborg","Sunk",9,"2020-13-20T11:29:51.279Z","On time"
"mi3497","mi3497","Ichinomiya","Mifo",10,"2020-11-20T02:54:51.279Z","On time"
"jjj333","jjj333","Jacobi","Jacob",5,"2020-11-20T02:38:51.279Z","On time"
"hl342","hl342","Liouying","Hush",10,"2020-12-20T02:27:51.279Z","On time"
"dyl253","dyl253","Llanybydder","Dara",8,"2020-11-20T02:08:51.279Z","On time"
"nm337","nm337","Maebashi","Neum",9,"2020-11-20T02:18:51.279Z","On time"
"nn632","nn632","Novgorod","Nye",10,"2020-11-20T06:43:51.279Z","On time"
"er312","er312","Random","Elena",7,"2020-14-20T02:23:51.279Z","On time"
"as951","as951","Schrodinger","Axela",6,"2020-11-20T02:21:51.279Z","On time"
"js784","js784","Shueishang","Jintian",10,"2020-12-20T02:21:51.279Z","On time"
"ys383","ys383","Syuejia","Yue",8,"2020-11-20T02:55:51.279Z","On time"
"jjt235","jjt235","Thomson","JJ",7.5,"2020-11-20T03:32:51.279Z","On time"
"tut932","tut932","Toyooka","Thirsty",9,"2020-14-20T02:54:51.279Z","On time"
"ehv329","ehv329","Viborg","Etchel",10,"2020-11-20T02:43:51.279Z","On time"
"fy6328","fy6328","Ynysybwl","Fish",8,"2020-12-20T02:16:51.279Z","On time"
"dz6755","dz6755","Zijilai","Dan",10,"2020-12-20T02:12:51.279Z","On time"
